Date,Department,Revenue,Expenses,Profit
2024-01-07,Sales,18372,14101,4271
2024-01-14,IT,11952,11370,582
2024-01-21,Finance,11962,5508,6454
2024-01-28,Sales,16272,14612,1660
2024-02-04,Finance,18001,2804,15197
2024-02-11,Finance,12183,14839,-2656
2024-02-18,Sales,10553,6654,3899
2024-02-25,IT,13681,6675,7006
2024-03-03,Sales,19779,2620,17159
2024-03-10,IT,17823,2428,15395
2024-03-17,HR,16178,8951,7227
2024-03-24,Sales,16423,4800,11623
2024-03-31,IT,19819,6635,13184
2024-04-07,Sales,19746,4107,15639
2024-04-14,HR,18382,8994,9388
2024-04-21,HR,12006,11409,597
2024-04-28,HR,14245,2527,11718
2024-05-05,Finance,9132,8878,254
2024-05-12,IT,15723,5393,10330
2024-05-19,Sales,19621,12779,6842
2024-05-26,HR,6548,2946,3602
2024-06-02,Sales,18298,9751,8547
2024-06-09,IT,15044,3393,11651
2024-06-16,Finance,6670,10640,-3970
2024-06-23,IT,8895,8346,549
2024-06-30,IT,6057,12331,-6274
2024-07-07,IT,5872,2719,3153
2024-07-14,HR,5720,3478,2242
2024-07-21,Finance,18580,7880,10700
2024-07-28,Finance,14641,8164,6477
2024-08-04,Finance,13026,11240,1786
2024-08-11,Finance,8582,3335,5247
2024-08-18,IT,10507,11836,-1329
2024-08-25,IT,13306,12006,1300
2024-09-01,Sales,14254,6258,7996
2024-09-08,IT,16434,11847,4587
2024-09-15,Finance,11146,5319,5827
2024-09-22,Finance,6095,13218,-7123
2024-09-29,HR,10779,13206,-2427
2024-10-06,Sales,9994,14821,-4827
2024-10-13,IT,16309,6223,10086
2024-10-20,Sales,11074,8268,2806
2024-10-27,Sales,8267,12176,-3909
2024-11-03,Finance,13405,10610,2795
2024-11-10,Sales,5998,10674,-4676
2024-11-17,Sales,5721,9090,-3369
2024-11-24,Sales,8633,3865,4768
2024-12-01,Finance,10122,3019,7103
2024-12-08,HR,14408,6602,7806
2024-12-15,IT,15838,2805,13033
